Product Name,URL,Customer Rating,review,Sentiment
"Essential Oil for Sleep Diffuser - Lavender Oil for Hair Skin and Body - Scented Oils for Aromatherapy with Pure Essential Oils for Candles Humidifier and Soap Making, 1 fl oz",https://www.walmart.com/reviews/product/990109789?page=9,4.8 out of 7,stress relief for a fighter,Neutral
"Essential Oil for Sleep Diffuser - Lavender Oil for Hair Skin and Body - Scented Oils for Aromatherapy with Pure Essential Oils for Candles Humidifier and Soap Making, 1 fl oz",https://www.walmart.com/reviews/product/990109789?page=8,4.8 out of 20,this smells literally ssoo amazing! the oil has a lime smell to it and it smells fuity. i have put a few drops on my pillow at night to help relax me to go to work puting a drop on my hand each and it calms me throughout the day. it is amazing and would recomend it,Positive
"Essential Oil for Sleep Diffuser - Lavender Oil for Hair Skin and Body - Scented Oils for Aromatherapy with Pure Essential Oils for Candles Humidifier and Soap Making, 1 fl oz",https://www.walmart.com/reviews/product/990109789?page=10,4.8 out of 22,"great product especially when you have to weat a mask every day. i purchase this before taking a licesnsure exam and it heped to calm my mask daily. i will defintiely purchase more when i run out! it really works well for my anxiety, and would defintiely recommend",Positive
"Essential Oil for Sleep Diffuser - Lavender Oil for Hair Skin and Body - Scented Oils for Aromatherapy with Pure Essential Oils for Candles Humidifier and Soap Making, 1 fl oz",https://www.walmart.com/reviews/product/990109789?page=11,4.8 out of 23,"i love this so much. i read that massaging it into botom of feet is beneficial. it does the trick for me. i sleep better. i have kess oain and the aroma is just heavenly!!! it calms me. also although its an oil, theres no oiliness left on my gfeet to stain my bedding or shoes. i love it",Positive
"Essential Oil for Sleep Diffuser - Lavender Oil for Hair Skin and Body - Scented Oils for Aromatherapy with Pure Essential Oils for Candles Humidifier and Soap Making, 1 fl oz",https://www.walmart.com/reviews/product/990109789?page=13,4.8 out of 25,it is very citrusy with hints of the other stuff. but mostly citrusy. i really like it. i am not really sure it is is helping with my anxiety but i also have a very sever case of it. i use it in a difusser bracelet and take it with me to work. i got comolimented a lot about how i smelled!,Positive
"Essential Oil for Sleep Diffuser - Lavender Oil for Hair Skin and Body - Scented Oils for Aromatherapy with Pure Essential Oils for Candles Humidifier and Soap Making, 1 fl oz",https://www.walmart.com/reviews/product/990109789?page=12,4.8 out of 38,"I've been using this oil in my diffuser and humidifier for the past few weeks and I love it! The bergamot is a refreshing smell that makes me feel calm and ready to take on the day. The citrus brings an uplifting feeling of being able to do anything, even if the stressors overwhelm you.",Positive
"Essential Oil for Sleep Diffuser - Lavender Oil for Hair Skin and Body - Scented Oils for Aromatherapy with Pure Essential Oils for Candles Humidifier and Soap Making, 1 fl oz",https://www.walmart.com/reviews/product/990109789?page=15,4.8 out of 41,i have used other brand of essential oils and i must say the smell is litereally so amazing and is differnet from others i have used but it is the best! i use it before bedtime and it is good for stress and anxiety! i really sleep well and put some under my nose! it is great!,Positive
"Essential Oil for Sleep Diffuser - Lavender Oil for Hair Skin and Body - Scented Oils for Aromatherapy with Pure Essential Oils for Candles Humidifier and Soap Making, 1 fl oz",https://www.walmart.com/reviews/product/990109789?page=18,4.8 out of 44,"this product changed my life for the better. it truly truly helps soothe my sever anxiety. it smells wonderful and when placed on a bracelet difusser a few little drops lasts all day. igf you need help relaxing please try this product, you wont regret it",Positive
"Essential Oil for Sleep Diffuser - Lavender Oil for Hair Skin and Body - Scented Oils for Aromatherapy with Pure Essential Oils for Candles Humidifier and Soap Making, 1 fl oz",https://www.walmart.com/reviews/product/990109789?page=20,4.8 out of 46,I really enjoy the scent and relaxation this lavender essential oil provides. I add 3-4 drops to my diffuser for better sleep at night &amp; I add about 15 drops to 2 tablespoons of olive oil which I heat in microwave 10-15 minutes for scalp massage &amp; leave on 1/2 - 1 hour.,Positive
"Essential Oil for Sleep Diffuser - Lavender Oil for Hair Skin and Body - Scented Oils for Aromatherapy with Pure Essential Oils for Candles Humidifier and Soap Making, 1 fl oz",https://www.walmart.com/reviews/product/990109789?page=7,4.8 out of 61,i love this oil and i have never used such amazing type of oil beofre i have used it in my difusser in my office and it smells so nice and it really helps to calm me down from the days of stress and anxiety. i turn it on whole night and get amazing sleep! it is agreat i love it,Positive
